Node;GeneratorType;Period;genInstalledCap_MW;;;;
BosniaH;Liginiteexisting;2020-2025;1473;;;;
BosniaH;Liginiteexisting;2025-2030;906.4615385;;;;
BosniaH;Liginiteexisting;2030-2035;609.0288462;;;;
BosniaH;Liginiteexisting;2035-2040;424.9038462;;;;
BosniaH;Liginiteexisting;2040-2045;294.6;;;;
BosniaH;Liginiteexisting;2045-2050;73.65;;;;
BosniaH;Liginiteexisting;2050-2055;0;;;;
BosniaH;Liginiteexisting;2055-2060;0;;;;
Bulgaria;Liginiteexisting;2020-2025;4185;;;;
Bulgaria;Liginiteexisting;2025-2030;2575.384615;;;;
Bulgaria;Liginiteexisting;2030-2035;1730.336538;;;;
Bulgaria;Liginiteexisting;2035-2040;1207.211538;;;;
Bulgaria;Liginiteexisting;2040-2045;837;;;;
Bulgaria;Liginiteexisting;2045-2050;209.25;;;;
Bulgaria;Liginiteexisting;2050-2055;0;;;;
Bulgaria;Liginiteexisting;2055-2060;0;;;;
CzechR;Liginiteexisting;2020-2025;5493.6;;;;
CzechR;Liginiteexisting;2025-2030;3380.676923;;;;
CzechR;Liginiteexisting;2030-2035;2271.392308;;;;
CzechR;Liginiteexisting;2035-2040;1584.692308;;;;
CzechR;Liginiteexisting;2040-2045;1098.72;;;;
CzechR;Liginiteexisting;2045-2050;274.68;;;;
CzechR;Liginiteexisting;2050-2055;0;;;;
CzechR;Liginiteexisting;2055-2060;0;;;;
Germany;Liginiteexisting;2020-2025;13908;;;;
Germany;Liginiteexisting;2025-2030;8558.769231;;;;
Germany;Liginiteexisting;2030-2035;5750.423077;;;;
Germany;Liginiteexisting;2035-2040;4011.923077;;;;
Germany;Liginiteexisting;2040-2045;2781.6;;;;
Germany;Liginiteexisting;2045-2050;695.4;;;;
Germany;Liginiteexisting;2050-2055;0;;;;
Germany;Liginiteexisting;2055-2060;0;;;;
Estonia;Liginiteexisting;2020-2025;0;;;;
Estonia;Liginiteexisting;2025-2030;0;;;;
Estonia;Liginiteexisting;2030-2035;0;;;;
Estonia;Liginiteexisting;2035-2040;0;;;;
Estonia;Liginiteexisting;2040-2045;0;;;;
Estonia;Liginiteexisting;2045-2050;0;;;;
Estonia;Liginiteexisting;2050-2055;0;;;;
Estonia;Liginiteexisting;2055-2060;0;;;;
Greece;Liginiteexisting;2020-2025;1220;;;;
Greece;Liginiteexisting;2025-2030;750.7692308;;;;
Greece;Liginiteexisting;2030-2035;504.4230769;;;;
Greece;Liginiteexisting;2035-2040;351.9230769;;;;
Greece;Liginiteexisting;2040-2045;244;;;;
Greece;Liginiteexisting;2045-2050;61;;;;
Greece;Liginiteexisting;2050-2055;0;;;;
Greece;Liginiteexisting;2055-2060;0;;;;
Hungary;Liginiteexisting;2020-2025;884;;;;
Hungary;Liginiteexisting;2025-2030;544;;;;
Hungary;Liginiteexisting;2030-2035;365.5;;;;
Hungary;Liginiteexisting;2035-2040;255;;;;
Hungary;Liginiteexisting;2040-2045;176.8;;;;
Hungary;Liginiteexisting;2045-2050;44.2;;;;
Hungary;Liginiteexisting;2050-2055;0;;;;
Hungary;Liginiteexisting;2055-2060;0;;;;
Ireland;Liginiteexisting;2020-2025;0;;;;
Ireland;Liginiteexisting;2025-2030;0;;;;
Ireland;Liginiteexisting;2030-2035;0;;;;
Ireland;Liginiteexisting;2035-2040;0;;;;
Ireland;Liginiteexisting;2040-2045;0;;;;
Ireland;Liginiteexisting;2045-2050;0;;;;
Ireland;Liginiteexisting;2050-2055;0;;;;
Ireland;Liginiteexisting;2055-2060;0;;;;
Macedonia;Liginiteexisting;2020-2025;800;;;;
Macedonia;Liginiteexisting;2025-2030;492.3076923;;;;
Macedonia;Liginiteexisting;2030-2035;330.7692308;;;;
Macedonia;Liginiteexisting;2035-2040;230.7692308;;;;
Macedonia;Liginiteexisting;2040-2045;160;;;;
Macedonia;Liginiteexisting;2045-2050;40;;;;
Macedonia;Liginiteexisting;2050-2055;0;;;;
Macedonia;Liginiteexisting;2055-2060;0;;;;
Poland;Liginiteexisting;2020-2025;6720;;;;
Poland;Liginiteexisting;2025-2030;4135.384615;;;;
Poland;Liginiteexisting;2030-2035;2778.461538;;;;
Poland;Liginiteexisting;2035-2040;1938.461538;;;;
Poland;Liginiteexisting;2040-2045;1344;;;;
Poland;Liginiteexisting;2045-2050;336;;;;
Poland;Liginiteexisting;2050-2055;0;;;;
Poland;Liginiteexisting;2055-2060;0;;;;
Romania;Liginiteexisting;2020-2025;2745;;;;
Romania;Liginiteexisting;2025-2030;1689.230769;;;;
Romania;Liginiteexisting;2030-2035;1134.951923;;;;
Romania;Liginiteexisting;2035-2040;791.8269231;;;;
Romania;Liginiteexisting;2040-2045;549;;;;
Romania;Liginiteexisting;2045-2050;137.25;;;;
Romania;Liginiteexisting;2050-2055;0;;;;
Romania;Liginiteexisting;2055-2060;0;;;;
Serbia;Liginiteexisting;2020-2025;4405;;;;
Serbia;Liginiteexisting;2025-2030;2710.769231;;;;
Serbia;Liginiteexisting;2030-2035;1821.298077;;;;
Serbia;Liginiteexisting;2035-2040;1270.673077;;;;
Serbia;Liginiteexisting;2040-2045;881;;;;
Serbia;Liginiteexisting;2045-2050;220.25;;;;
Serbia;Liginiteexisting;2050-2055;0;;;;
Serbia;Liginiteexisting;2055-2060;0;;;;
Slovenia;Liginiteexisting;2020-2025;945;;;;
Slovenia;Liginiteexisting;2025-2030;581.5384615;;;;
Slovenia;Liginiteexisting;2030-2035;390.7211538;;;;
Slovenia;Liginiteexisting;2035-2040;272.5961538;;;;
Slovenia;Liginiteexisting;2040-2045;189;;;;
Slovenia;Liginiteexisting;2045-2050;47.25;;;;
Slovenia;Liginiteexisting;2050-2055;0;;;;
Slovenia;Liginiteexisting;2055-2060;0;;;;
Slovakia;Liginiteexisting;2020-2025;220;;;;
Slovakia;Liginiteexisting;2025-2030;135.3846154;;;;
Slovakia;Liginiteexisting;2030-2035;90.96153846;;;;
Slovakia;Liginiteexisting;2035-2040;63.46153846;;;;
Slovakia;Liginiteexisting;2040-2045;44;;;;
