id_powerplant;name_powerplant;gross_cap_ele;gross_cap_th;start_year;latitude;longitude;name_country;name_turbine_type;NUTS_AREA
90;Altheim;1;12;2001;48.2502;13.2345;Austria;ORC;AT31
91;Bad Blumau;0.2;7.5;2001;47.1244;16.0434;Austria;ORC;AT22
92;Simbach/Braunau;0.6;42.3;2001;48.2573;13.011;Austria;Other;DE22
93;Bouillante I;4;NULL;1986;16.1371;-61.7674;France;Dry steam;PT20
94;Bouillante II;11;NULL;2003;16.1371;-61.7674;France;Dry steam;PT20
95;Soultz-sous-forets;1.5;NULL;2010;48.9353;7.86525;France;ORC;DEB3
96;Bruchsal;0.44;5.5;2009;49.1252;8.5671;Germany;Kalina;DE12
97;Dürrnhaar;7;NULL;2012;47.9961;11.7259;Germany;ORC;DE21
98;Oberhaching-Laufzorn;4.3;40;2014;48.02;11.5626;Germany;ORC;DE21
99;Traunreut;5.5;12;2016;47.9731;12.5796;Germany;ORC;DE21
100;Kirchstockach;7;NULL;2013;48.0272;11.6878;Germany;ORC;DE21
101;Insheim;4.8;8;2013;49.1539;8.15306;Germany;ORC;DEB3
102;Landau;0.79;5;2007;49.1866;8.12336;Germany;ORC;DEB3
103;Sauerlach;5;4;2012;47.9724;11.6686;Germany;ORC;DE21
104;Unterhaching;3.36;38;2007;48.0238;11.6209;Germany;Kalina;DE21
105;Bjarnaflag;3;NULL;1969;65.6469;-16.8469;Iceland;Back pressure;IS00
106;Hellisheidi 1;270;400;2006;64.0372;-21.4008;Iceland;Double flash;IS00
107;Hellisheidi 2;33;NULL;2007;64.0372;-21.4008;Iceland;Double flash;IS00
108;Husavik;2;14;2000;66.0476;-17.3435;Iceland;Kalina;IS00
109;Svartsengi;66;150;1977;63.8786;-22.4328;Iceland;Single flash;IS00
110;Svartsengi;8.4;NULL;2007;63.8786;-22.4328;Iceland;ORC;IS00
111;Krafla;60;NULL;1978;65.7029;-16.7744;Iceland;Double flash;IS00
112;Nesjavellir;120;300;1998;64.1082;-21.2566;Iceland;Single flash;IS00
113;Reykjanesvirkjun;100;NULL;2006;63.8264;-22.6819;Iceland;Single flash;IS00
114;Carboli 1;15.4;NULL;1998;43.1369;10.8291;Italy;Dry steam;ITI1
115;Carboli 2;15.4;NULL;1997;43.1361;10.829;Italy;Dry steam;ITI1
116;Cornia 2;12;NULL;1994;43.166;10.806;Italy;Dry steam;ITI1
117;Nuova Lagoni Rossi;12.7;NULL;2009;43.1667;10.7846;Italy;Dry steam;ITI1
118;Le Prata;18;NULL;1996;43.1962;10.8322;Italy;Dry steam;ITI1
119;Monteverdi1;17.8;NULL;1997;43.1861;10.7655;Italy;Dry steam;ITI1
120;Monteverdi2;15.6;NULL;1997;43.1973;10.7652;Italy;Dry steam;ITI1
121;Nuova Lago;10.9;NULL;2002;43.1557;10.8145;Italy;Dry steam;ITI1
122;Nuova Monterotondo;8;NULL;2002;43.1517;10.8497;Italy;Dry steam;ITI1
123;Nuova San Martino;36.2;NULL;2005;43.1452;10.8321;Italy;Dry steam;ITI1
124;Nuova Sasso;14;NULL;1996;43.1755;10.853;Italy;Dry steam;ITI1
