OBJECTID;STORAGE_UNIT_NAME;ASSESS_UNIT_TYPE;STORAGE_TYPE;GROSS_THICK_MEAN;DEPTH_MEAN;PRESSURE_MEAN;TEMP_C_MEAN;PERM_MEAN;CO2_DENSIT;TOTAL_STORE_CAP;COUNTRYCODE;LONG;LAT;ONSHORE
296;SLG-1;Saline Aquifer without hydrocarbon fields;0;200;1000;0;0;0;740;4.44;SI;14.515258;46.053046;1
482;Bruce Sandstone Unit 1;Saline Aquifer with hydrocarbon fields;1;200;3000;400;113;50;600;4.56;GB;1.622360492;59.40810415;0
289;LJB-1;Saline Aquifer without hydrocarbon fields;0;100;1500;0;0;0;720;4.608;SI;14.76166667;46.05222222;1
292;VIP-2;Saline Aquifer without hydrocarbon fields;0;400;900;0;0;0;860;5.418;SI;13.80916667;45.89083333;1
302;MBR-3;Saline Aquifer without hydrocarbon fields;0;70;1000;0;0;0;290;6.09;SI;15.75;46.67666667;1
453;Skroo Sandstone Unit 3;Saline Aquifer without hydrocarbon fields;0;25;2000;210;78;500;700;6.166125;GB;1.489542175;59.03576845;0
301;MBR-2;Saline Aquifer without hydrocarbon fields;0;80;800;0;0;0;190;8.208;SI;14.54166;46.341951;1
353;Lab SU;Saline Aquifer with hydrocarbon fields;1;80;1000;100;45;300;630;8.4672;SK;16.98305556;48.37638889;1
517;Brae Formation Unit 2;Saline Aquifer with hydrocarbon fields;1;300;3500;480;127;175;700;8.6688;GB;1.257630775;58.37359571;0
26;Houtem and Maastricht SU;Saline Aquifer without hydrocarbon fields;0;65;775;72;40.6;65;610;8.983203125;BE;4.317238;50.840887;1
293;VIP-3;Saline Aquifer without hydrocarbon fields;0;400;800;0;0;0;840;9.072;SI;13.76888889;45.91277778;1
175;Pandino 1 - Lombardia 2 SU;Saline Aquifer without hydrocarbon fields;0;621;1465;50;0;0;700;9.9320256;IT;9.463889;45.413611;1
316;ILB-1;Saline Aquifer without hydrocarbon fields;0;200;800;0;0;0;830;11.952;SI;14.14388889;45.58722222;1
520;Firth Coal Unit 3;Saline Aquifer without hydrocarbon fields;0;350;3000;385;130;10;700;12.495;GB;-1.611670977;56.72668692;0
288;KRP-1;Saline Aquifer without hydrocarbon fields;0;200;1000;0;0;0;725;14.5;SI;14.35083333;46.26305556;1
355;Vysoka SU;Saline Aquifer with hydrocarbon fields;1;60;1390;139;45;280;693;14.702688;SK;16.91138889;48.34333333;1
294;VIP-4;Saline Aquifer without hydrocarbon fields;0;400;1000;0;0;0;840;15.12;SI;13.70388889;45.91916667;1
477;Birch Sandstone Member;Saline Aquifer with hydrocarbon fields;1;289;4000;500;130;10;700;23.31264;GB;1.314870863;58.57685962;0
500;Bruce Sandstone Unit 3;Saline Aquifer without hydrocarbon fields;0;200;2500;400;113;50;600;17.52;GB;1.64907591;59.76576327;0
518;Brae Formation Unit 3;Saline Aquifer with hydrocarbon fields;1;600;4300;500;120;75;700;18.018;GB;1.292373828;58.48189735;0
27;Buntsandstein SU;Saline Aquifer without hydrocarbon fields;0;200;1550;152;65;37;600;18.693;BE;4.078155;50.409489;1
52;Nova Paka;Saline Aquifer without hydrocarbon fields;0;37;1200;120;45;10;754;20.68112218;CZ;15.57111111;50.54722222;1
486;Emerald Formation;Saline Aquifer with hydrocarbon fields;1;15;1600;178;64;500;600;22.0248;GB;1.046047033;60.63316235;0
157;Hajdúsági;Saline Aquifer without hydrocarbon fields;0;197.75;0;170;0;0;563.51;24.80681567;HU;21.48083333;47.52305556;1
448;Hermod Sandstone Unit;Saline Aquifer without hydrocarbon fields;0;100;2100;216;81;500;600;25.2672;GB;2.004048129;59.86255188;0
499;Bruce Sandstone Unit 2;Saline Aquifer without hydrocarbon fields;0;200;3000;400;113;50;600;27.36;GB;1.44158769;59.54083262;0
530;Stroma Member 2;Saline Aquifer without hydrocarbon fields;0;25;3000;315;113;20;700;27.65;GB;-0.109882369;58.58919791;0
204;Priabonian sandstone Veles;Saline Aquifer without hydrocarbon fields;0;400;593;95;55;10;295;28.32;MK;21.81194444;41.78777778;1
155;Szegedi;Saline Aquifer without hydrocarbon fields;0;352.56;0;306;0;0;581;29.31321968;HU;20.15833333;46.40638889;1
458;Balder Sandstone Unit;Saline Aquifer with hydrocarbon fields;1;3;1200;120;44;3000;671;91.2239434;GB;1.297056906;58.25739527;0
295;VIP-5;Saline Aquifer without hydrocarbon fields;0;300;1000;0;0;0;840;34.02;SI;13.69277778;45.92111111;1
25;Neeroeteren SU;Saline Aquifer without hydrocarbon fields;0;200;1400;141;60;115;566;34.490625;;5.518055556;51.16972222;1
159;Nyugat-kisalföld;Saline Aquifer without hydrocarbon fields;0;216.84;0;190;0;0;551.57;36.12175148;HU;16.89111111;47.42027778;1
160;Kelet-kisalföldi;;1;255.73;0;217;0;0;565.04;38.03950173;HU;17.45055556;47.46694444;1
45;Upper Marine Molasse;Saline Aquifer without hydrocarbon fields;0;450;1250;125;51;300;675;39.90211875;CH;9.129435118;47.40360998;1
156;Kiskunsági;Saline Aquifer without hydrocarbon fields;0;200.76;0;184;0;0;547.36;39.94298075;HU;19.79861111;46.73638889;1
203;Priabonian sandstone Sveti Nikole;Saline Aquifer without hydrocarbon fields;0;400;770;95;55;10;295;42.48;MK;21.905;41.85361111;1
154;Északalföldi;Saline Aquifer without hydrocarbon fields;0;240.5;0;181;0;0;553.66;43.33488642;HU;20.46472222;47.67;1
28;Dinantian North SU;Saline Aquifer without hydrocarbon fields;0;775;1400;141;60;225;566;43.42635;BE;3.922714;50.523381;1
188;Furci 9 - Abruzzi 2 SU;Saline Aquifer without hydrocarbon fields;0;130;1265;0;0;0;650;54.756;IT;14.36361111;42.26277778;1
493;Strath Rory Formation;Saline Aquifer without hydrocarbon fields;0;1000;3000;315;113;0.1;700;55.8432;GB;-1.689003401;58.17504061;0
