Country Name;Country_Code;Series Name;Series Code;1990;1991;1992;1993 [YR1993];1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
World;WLD;Population, total;SP.POP.TOTL;5293395467;5382536929;5470164577;5556623321;5642046034;5726736488;5811580202;5896055962;5979726559;6062288850;6144321462;6226348086;6308140970;6389462496;6470924346;6552700448;6635110367;6717567584;6801440971;6885663352;6969985525;7054044372;7141386257;7229303088;7317040295;7403850164;7490415449;7576441961;7660371127;7741774583;7820205606;7888305693
Austria;AUT;Population, total;SP.POP.TOTL;7677850;7754891;7840709;7905633;7936118;7948278;7959017;7968041;7976789;7992324;8011566;8042293;8081957;8121423;8171966;8227829;8268641;8295487;8321496;8343323;8363404;8391643;8429991;8479823;8546356;8642699;8736668;8797566;8840521;8879920;8916864;8955797
Belgium;BEL;Population, total;SP.POP.TOTL;9967379;10004486;10045158;10084475;10115603;10136811;10156637;10181245;10203008;10226419;10251250;10286570;10332785;10376133;10421137;10478617;10547958;10625700;10709973;10796493;10895586;11038264;11106932;11159407;11209057;11274196;11331422;11375158;11427054;11488980;11538604;11586195
Croatia;HRV;Population, total;SP.POP.TOTL;4777368;4689022;4575818;4600463;4652024;4620030;4557097;4534920;4532135;4512597;4468302;4299642;4302174;4303399;4304600;4310145;4311159;4310217;4309705;4305181;4295427;4280622;4267558;4255689;4238389;4203604;4174349;4124531;4087843;4065253;4047680;3879000
Denmark;DNK;Population, total;SP.POP.TOTL;5140939;5154298;5171370;5188628;5206180;5233373;5263074;5284991;5304219;5321799;5339616;5358783;5375931;5390574;5404523;5419432;5437272;5461438;5493621;5523095;5547683;5570572;5591572;5614932;5643475;5683483;5728010;5764980;5793636;5814422;5831404;5856733
Finland;FIN;Population, total;SP.POP.TOTL;4986431;5013740;5041992;5066447;5088333;5107790;5124573;5139835;5153498;5165474;5176209;5188008;5200598;5213014;5228172;5246096;5266268;5288720;5313399;5338871;5363352;5388272;5413971;5438972;5461512;5479531;5495303;5508214;5515525;5521606;5529543;5541017
Germany;DEU;Population, total;SP.POP.TOTL;79433029;80013896;80624598;81156363;81438348;81678051;81914831;82034771;82047195;82100243;82211508;82349925;82488495;82534176;82516260;82469422;82376451;82266372;82110097;81902307;81776930;80274983;80425823;80645605;80982500;81686611;82348669;82657002;82905782;83092962;83160871;83196078
Ireland;IRL;Population, total;SP.POP.TOTL;3513974;3534235;3558430;3576261;3590386;3608841;3637510;3674171;3712696;3754786;3805174;3866243;3931947;3996521;4070262;4159914;4273591;4398942;4489544;4535375;4560155;4580084;4599533;4623816;4657740;4701957;4755335;4807388;4867316;4934340;4985382;5033164
Latvia;LVA;Population, total;SP.POP.TOTL;2663151;2650581;2614338;2563290;2520742;2485056;2457222;2432851;2410019;2390482;2367550;2337170;2310173;2287955;2263122;2238799;2218357;2200325;2177322;2141669;2097555;2059709;2034319;2012647;1993782;1977527;1959537;1942248;1927174;1913822;1900449;1884490
