OBJECTID;STORAGE_UNIT_NAME;ASSESS_UNIT_TYPE;STORAGE_TYPE;GROSS_THICK_MEAN;DEPTH_MEAN;PRESSURE_MEAN;TEMP_C_MEAN;PERM_MEAN;CO2_DENSIT;TOTAL_STORE_CAP;COUNTRYCODE;LONG;LAT;ONSHORE
482;Bruce Sandstone Unit 1;Saline Aquifer with hydrocarbon fields;1;200;3000;400;113;50;600;4.56;GB;1.622360492;59.40810415;0
453;Skroo Sandstone Unit 3;Saline Aquifer without hydrocarbon fields;0;25;2000;210;78;500;700;6.166125;GB;1.489542175;59.03576845;0
517;Brae Formation Unit 2;Saline Aquifer with hydrocarbon fields;1;300;3500;480;127;175;700;8.6688;GB;1.257630775;58.37359571;0
520;Firth Coal Unit 3;Saline Aquifer without hydrocarbon fields;0;350;3000;385;130;10;700;12.495;GB;-1.611670977;56.72668692;0
477;Birch Sandstone Member;Saline Aquifer with hydrocarbon fields;1;289;4000;500;130;10;700;23.31264;GB;1.314870863;58.57685962;0
500;Bruce Sandstone Unit 3;Saline Aquifer without hydrocarbon fields;0;200;2500;400;113;50;600;17.52;GB;1.64907591;59.76576327;0
518;Brae Formation Unit 3;Saline Aquifer with hydrocarbon fields;1;600;4300;500;120;75;700;18.018;GB;1.292373828;58.48189735;0
486;Emerald Formation;Saline Aquifer with hydrocarbon fields;1;15;1600;178;64;500;600;22.0248;GB;1.046047033;60.63316235;0
448;Hermod Sandstone Unit;Saline Aquifer without hydrocarbon fields;0;100;2100;216;81;500;600;25.2672;GB;2.004048129;59.86255188;0
499;Bruce Sandstone Unit 2;Saline Aquifer without hydrocarbon fields;0;200;3000;400;113;50;600;27.36;GB;1.44158769;59.54083262;0
530;Stroma Member 2;Saline Aquifer without hydrocarbon fields;0;25;3000;315;113;20;700;27.65;GB;-0.109882369;58.58919791;0
458;Balder Sandstone Unit;Saline Aquifer with hydrocarbon fields;1;3;1200;120;44;3000;671;91.2239434;GB;1.297056906;58.25739527;0
493;Strath Rory Formation;Saline Aquifer without hydrocarbon fields;0;1000;3000;315;113;0.1;700;55.8432;GB;-1.689003401;58.17504061;0
494;Stroma Member 1;Saline Aquifer without hydrocarbon fields;0;25;3000;315;113;20;700;60.83;GB;-0.270809305;57.91356974;0
449;Skadan Sandstone Unit;Saline Aquifer without hydrocarbon fields;0;25;2100;220;82;500;695;66.146625;GB;1.428698659;58.84081626;0
481;Brora Coal Formation;Saline Aquifer without hydrocarbon fields;0;50;2000;200;78;20;600;76.86;GB;3.173830197;58.04728858;0
525;Skagerrak Unit 3;Saline Aquifer without hydrocarbon fields;0;400;3250;348;122;10;700;79.016;GB;-0.189424745;57.71737165;0
184;Licia 1 - Calabria 1 SU;Saline Aquifer without hydrocarbon fields;0;301;1300;0;0;0;650;79.5657681;IT;16.581111;39.665556;0
490;Orrin Formation;Saline Aquifer without hydrocarbon fields;0;50;2500;275;100;50;700;88.4646;GB;-3.069787515;58.11731044;0
498;Argyll Carbonate Member;Saline Aquifer with hydrocarbon fields;1;20;2000;214;78;10;735;110.8974;GB;2.589333294;55.61560804;0
503;Nansen Unit 1;Saline Aquifer without hydrocarbon fields;0;50;3500;368;130;50;700;102.5325;GB;1.683194948;59.57500693;0
483;Buchan Formation Unit;Saline Aquifer with hydrocarbon fields;1;500;2500;300;95;1;700;105;GB;1.146944444;57.61333333;0
478;Brae Formation Unit 1;Saline Aquifer with hydrocarbon fields;1;200;3500;491;123;100;700;487.3666;GB;1.402289002;58.73056033;0
186;Fosca 1 - Calabria mare 2 SU;Saline Aquifer without hydrocarbon fields;0;670;1240;0;0;0;650;186.7437936;IT;16.896944;38.438889;0
466;Westcoe Coal Unit;Saline Aquifer with hydrocarbon fields;1;200;3000;321;113;5;700;246.109;GB;1.949268322;53.41221503;0
480;Britannia Sandstone Formation;Saline Aquifer with hydrocarbon fields;1;100;3500;400;125;30;700;193.2525;GB;0.958721235;57.98727857;0
185;Lara 1 - Calabria mare 1 SU;Saline Aquifer without hydrocarbon fields;0;557;1062.5;0;0;0;610;205.7297836;IT;17.170833;39.213333;0
528;Skagerrak Unit 6;Saline Aquifer without hydrocarbon fields;0;400;3250;348;122;10;700;206.108;GB;0.464189355;57.11599256;0
474;Alness Spiculite Member;Saline Aquifer without hydrocarbon fields;0;40;2500;257;87;0.5;625;209.125;GB;2.240291651;58.19647436;0
450;Teal Sandstone Member;Saline Aquifer without hydrocarbon fields;0;65;2000;210;78;500;700;221.2938;GB;1.861466883;59.98601885;0
489;Orcadia Formation Unit;Saline Aquifer without hydrocarbon fields;0;1000;2000;205;94;0.1;700;228.305;GB;-1.116831039;58.5480616;0
526;Skagerrak Unit 4;Saline Aquifer without hydrocarbon fields;0;400;3250;348;122;10;700;233.24;GB;58.5050536;58.5050536;0
180;Serena Nord 1 - Emilia mare SU;Saline Aquifer without hydrocarbon fields;0;800;1325;140;45.85;6.7;650;234;IT;12.959167;44.11;0
496;Statfjord  Unit 2;Saline Aquifer with hydrocarbon fields;1;80;3800;400;141;450;700;254.43264;GB;1.700832542;60.87246079;0
527;Skagerrak Unit 5;Saline Aquifer without hydrocarbon fields;0;400;3250;348;122;10;700;277.508;GB;1.032828881;56.75116877;0
443;Tay Sandstone Member;Saline Aquifer without hydrocarbon fields;0;75;2200;227;85;400;700;339.066;GB;0.931109112;57.23100116;0
455;Ormskirk Sandstone Unit 3;Saline Aquifer without hydrocarbon fields;0;200;860.21;92;29.63;100;725;339.416;GB;-4.015058343;54.61267194;0
441;Frigg Sandstone Member;Saline Aquifer without hydrocarbon fields;0;55;1850;198;61;1500;714;370.4386224;GB;1.787312393;60.26116908;0
445;Cromarty Sandstone member;Saline Aquifer without hydrocarbon fields;0;75;1400;140;56;500;600;372.1788;GB;0.48367111;57.65877357;0
495;Statfjord Unit 1;Saline Aquifer with hydrocarbon fields;1;190;3500;368;130;450;700;390.44544;GB;1.691080855;59.57640081;0
465;Bridport Sands Unit;Saline Aquifer without hydrocarbon fields;0;60;800;80;35;10;696;393.788448;GB;-2.362227552;50.43990603;0
447;Flugga Sandstone Unit;Saline Aquifer with hydrocarbon fields;1;60;1675;184;67;6000;600;431.218705;GB;1.241960125;58.88268013;0
438;Hewett Sandstone;Saline Aquifer with hydrocarbon fields;1;26;1400;150;52;750;600;431.227368;GB;2.098288917;52.75632531;0
505;Zechsteinkalk Unit;Saline Aquifer with hydrocarbon fields;1;90;1400;150;7;1;700;463.4623;GB;1.711237137;52.90913671;0
485;Claymore Sandstone Member;Saline Aquifer with hydrocarbon fields;1;120;3000;320;113;50;600;507.6;GB;0.057532184;58.37975968;0
504;Nansen Unit 2;Saline Aquifer without hydrocarbon fields;0;50;3500;368;130;50;700;592.2315;GB;1.383649969;61.02533293;0
148;Dugi Otok;Saline Aquifer without hydrocarbon fields;0;1170;1515;151.5;44;0;754.75;601.6515944;HR;14.89;43.82333333;0
524;Skagerrak Unit 2;Saline Aquifer without hydrocarbon fields;0;400;3250;348;122;10;700;604.044;GB;0.01791139;58.90608782;0
476;Beatrice Formation Unit;Saline Aquifer with hydrocarbon fields;1;50;2000;200;80;50;594;751.12488;GB;-2.678314764;58.13984376;0
497;Captain Sandstone Member;Saline Aquifer with hydrocarbon fields;1;60;900;92;30;7000;700;805.72968;GB;-1.778740867;58.31936376;0
484;Burns Sandstone Member;Saline Aquifer without hydrocarbon fields;0;100;1500;165;60;50;600;1109.52;GB;-1.71367925;58.244461;0
460;Collyhurst Sandstone Unit 2;Saline Aquifer without hydrocarbon fields;0;575;1490;164;61;0.1;700;1220.524256;GB;-4.003398067;54.18761158;0
462;Otter Sandstone Formation;Saline Aquifer with hydrocarbon fields;1;125;1500;165;65;50;688;1265.9458;GB;-2.123036842;50.48018175;0
471;Grid Sandstone Member;Saline Aquifer without hydrocarbon fields;0;100;1000;103;43;500;600;1389.15;GB;1.256971647;59.26360488;0
454;Ormskirk Sandstone Unit 1;Saline Aquifer with hydrocarbon fields;1;230;890;95;61;100;725;2957.0204;GB;-3.591170453;53.84996599;0
173;Greensand 'A' and 'B' Sands;Saline Aquifer with hydrocarbon fields;1;38;800;82;29;50;787;2050.684326;IE;-8.051944444;51.25555556;0
491;Piper Formation;Saline Aquifer with hydrocarbon fields;1;140;3000;309;113;1000;700;2138.83824;GB;-0.099272968;58.52309137;0
