OBJECTID;STORAGE_UNIT_NAME;ASSESS_UNIT_TYPE;STORAGE_TYPE;GROSS_THICK_MEAN;DEPTH_MEAN;PRESSURE_MEAN;TEMP_C_MEAN;PERM_MEAN;CO2_DENSIT;TOTAL_STORE_CAP;COUNTRYCODE;LONG;LAT;ONSHORE
296;SLG-1;Saline Aquifer without hydrocarbon fields;0;200;1000;0;0;0;740;4.44;SI;14.515258;46.053046;1
289;LJB-1;Saline Aquifer without hydrocarbon fields;0;100;1500;0;0;0;720;4.608;SI;14.76166667;46.05222222;1
292;VIP-2;Saline Aquifer without hydrocarbon fields;0;400;900;0;0;0;860;5.418;SI;13.80916667;45.89083333;1
302;MBR-3;Saline Aquifer without hydrocarbon fields;0;70;1000;0;0;0;290;6.09;SI;15.75;46.67666667;1
301;MBR-2;Saline Aquifer without hydrocarbon fields;0;80;800;0;0;0;190;8.208;SI;14.54166;46.341951;1
353;Lab SU;Saline Aquifer with hydrocarbon fields;1;80;1000;100;45;300;630;8.4672;SK;16.98305556;48.37638889;1
26;Houtem and Maastricht SU;Saline Aquifer without hydrocarbon fields;0;65;775;72;40.6;65;610;8.983203125;BE;4.317238;50.840887;1
293;VIP-3;Saline Aquifer without hydrocarbon fields;0;400;800;0;0;0;840;9.072;SI;13.76888889;45.91277778;1
175;Pandino 1 - Lombardia 2 SU;Saline Aquifer without hydrocarbon fields;0;621;1465;50;0;0;700;9.9320256;IT;9.463889;45.413611;1
316;ILB-1;Saline Aquifer without hydrocarbon fields;0;200;800;0;0;0;830;11.952;SI;14.14388889;45.58722222;1
288;KRP-1;Saline Aquifer without hydrocarbon fields;0;200;1000;0;0;0;725;14.5;SI;14.35083333;46.26305556;1
355;Vysoka SU;Saline Aquifer with hydrocarbon fields;1;60;1390;139;45;280;693;14.702688;SK;16.91138889;48.34333333;1
294;VIP-4;Saline Aquifer without hydrocarbon fields;0;400;1000;0;0;0;840;15.12;SI;13.70388889;45.91916667;1
27;Buntsandstein SU;Saline Aquifer without hydrocarbon fields;0;200;1550;152;65;37;600;18.693;BE;4.078155;50.409489;1
52;Nova Paka;Saline Aquifer without hydrocarbon fields;0;37;1200;120;45;10;754;20.68112218;CZ;15.57111111;50.54722222;1
157;Hajdúsági;Saline Aquifer without hydrocarbon fields;0;197.75;0;170;0;0;563.51;24.80681567;HU;21.48083333;47.52305556;1
204;Priabonian sandstone Veles;Saline Aquifer without hydrocarbon fields;0;400;593;95;55;10;295;28.32;MK;21.81194444;41.78777778;1
155;Szegedi;Saline Aquifer without hydrocarbon fields;0;352.56;0;306;0;0;581;29.31321968;HU;20.15833333;46.40638889;1
295;VIP-5;Saline Aquifer without hydrocarbon fields;0;300;1000;0;0;0;840;34.02;SI;13.69277778;45.92111111;1
